,preds,acc,f1
knn,"[-1  0 -1 -1  0 -1  0  0  1 -1 -1  0  1 -1  0  1 -1 -1 -1  0 -1  0  1  0
  1  0 -1  1 -1  1  0 -1  0  0  1  0  0  1 -1  0  1  1  0 -1  1 -1 -1  0
  0 -1  1 -1  1 -1  0  1 -1  0  1  0  1 -1  0  0 -1 -1  1 -1 -1 -1  0 -1
  0  1  0 -1 -1  0  0 -1  0 -1 -1  1 -1 -1  1  0  0 -1  0 -1 -1  0  0  0
 -1 -1  0  0  1 -1  0  1 -1  0  1  0  1 -1 -1  0 -1  0 -1  1  0  0  1 -1
 -1 -1  0 -1 -1  1  0  1 -1 -1  1  0 -1  1  0  1  0  1  0  1  0 -1  1 -1
 -1 -1 -1  1 -1  1  0 -1  0 -1  1  0 -1  0 -1 -1  0  0  0 -1  1  1 -1  0
 -1  1  0  0  1 -1 -1 -1  0  1  1  0 -1 -1 -1 -1 -1  1  1  1  1 -1  1  0
 -1 -1  0  1  0  1 -1 -1  0  0  1 -1  0  0 -1  0 -1  0 -1  0 -1 -1  1 -1
 -1 -1  1 -1  0 -1 -1  1  0 -1  0 -1 -1  0 -1  0  1  1  0  0 -1  0 -1  0
  1  1  0  0  0 -1  1  0  1  1  1  1  1  0  1  0  1 -1  1  0  0  1 -1 -1
 -1 -1  1 -1 -1  1 -1  1  1  0  1  1  1 -1  0  1  0  0  1  0  0  1  0  1
 -1  0 -1 -1  1  1  0 -1  0  0  1  0 -1  0  1 -1  1 -1  0  1  1 -1 -1 -1
  0  0  1 -1 -1 -1  0  0  1  1 -1 -1  1 -1  0 -1  1 -1  1  0  1 -1  1  1
 -1  1  0  1  1  1 -1  0  1  1  0  1  0  1  0 -1 -1 -1 -1  0  1 -1  0 -1
  0 -1  1 -1  1  1  0 -1  0 -1  0 -1  1  1 -1  1  0  1  1 -1 -1  0  1 -1
 -1  0 -1 -1 -1  0  1  0 -1  0  0  0 -1 -1  1 -1  0  0  0 -1  1  0  0  0
  0  0  0  1  1  0  0  1 -1  0  1  1  0  0  0 -1 -1  1  1 -1  1 -1 -1  0
  1 -1  1  0  1 -1  0 -1  0 -1  0  1  1 -1 -1  1 -1 -1  0  0 -1 -1  1 -1
  1  0 -1 -1 -1 -1 -1 -1  1 -1  0 -1 -1 -1  1 -1 -1 -1  0 -1  1 -1  1 -1
  1  0 -1 -1 -1 -1 -1 -1  1  1 -1 -1 -1  1  0 -1  0  0 -1  0 -1  0 -1 -1
  1 -1  1  1  0  1  0  1  0  1  1 -1  0  0  0  0  1  1 -1 -1  0  0 -1 -1
 -1  0 -1 -1 -1  0 -1 -1  0 -1 -1 -1 -1  0  1 -1  1  0  0  1 -1  0  0  1
 -1 -1  0  0  0 -1 -1  1  1 -1 -1  1  0 -1  0  1  0  1  1 -1  1  1  0 -1
 -1  1  0 -1 -1  1  0  1  0  0  1  0  1  1 -1  1 -1  0  0 -1  1 -1  1 -1
  0  0  1  0 -1  0  0  1  0 -1  0 -1 -1 -1  1  0 -1  0  1  1  1  0  0  0
  0 -1  0  0 -1  0  0 -1  0  1  1  1  0  0  1  0  1 -1  1]",0.5552099533437014,0.5531227891145581
mnb,"[-1  1  0 -1  0 -1  0  0  0 -1  0  0  1 -1 -1  1 -1 -1 -1  0 -1  0  1 -1
  1  1 -1  1  0  1  0 -1  0  1  1  0  0  1 -1  0 -1  1  0 -1  1 -1 -1  0
  0  1  1  0  0 -1  0  1 -1  1  1  1  1 -1  0  0 -1 -1  0 -1 -1  1 -1  0
  1  1  1  0 -1  1  0 -1  1 -1  1  1  1 -1  1  0  0 -1  0  0  0  0  0  0
 -1 -1  0  1  0 -1  0  1  0  0  1  0 -1 -1 -1  0 -1  0  0  1  0  1  0 -1
  1 -1  0 -1  0  1  1  0  0 -1  1  0  0  1 -1  1  0  1  0 -1  0 -1  0 -1
  0  1  1  1  1  1  0 -1  0  1 -1  1  0  1  0  1  0 -1  0  1  1  1  1  0
 -1 -1  0  1 -1 -1 -1 -1  0  0  1  1  0  0  1 -1 -1  1  0 -1  1  1  1  0
 -1  0  1  1  0  0 -1 -1  0 -1 -1 -1  1  0 -1  0  0  1 -1  0 -1 -1 -1 -1
 -1 -1 -1 -1  0 -1 -1  0  1 -1 -1  0 -1  0 -1  0  1  1  0  0 -1  1 -1 -1
 -1  1  0  0  0 -1  1  1  1  0  1 -1  1  0  1  0  1 -1  1  0  0 -1 -1  0
  0  1  1  0 -1  1 -1  1 -1  1  1  0  0 -1  0 -1 -1  0  1  0  0  1 -1  1
  1  0 -1  0  0  1 -1  0  1  0  1  0 -1  0  1 -1  1 -1  0  1  1 -1  0 -1
  0  0  1 -1  1  0  0  0  1  0  0 -1  0 -1  1 -1 -1  1  0  0  1  0  1  1
  0  0  0  0  1  1  1  0 -1 -1  1  0  0  1 -1  0  0 -1  0  0  1  0  1 -1
  0 -1 -1 -1 -1 -1  0  0  1 -1  0  1  1  1  0  1 -1 -1  1 -1  0  0  1 -1
 -1  0 -1  1  0  0 -1  0 -1  1  0  1 -1 -1 -1  1  0  0  1 -1 -1  1  0  0
  1  0  1  1  1  0  0  1 -1  0  0 -1 -1  0  0 -1 -1  1  1  0  0  1  0  0
  1 -1 -1  0  1  1  0 -1 -1 -1  0  0 -1 -1  0  1  1 -1 -1  0  1  1  1  1
  1  0 -1  1 -1 -1  0 -1  1 -1  0 -1 -1  0 -1 -1 -1  1 -1 -1  1  0  0  1
  1  0 -1  0  0 -1  0 -1  1  1 -1  0 -1 -1  0  0  0 -1  0 -1 -1  0  1  0
 -1 -1  1  1  0 -1  0 -1  0  0 -1  0  0  0  1  0  1  0 -1 -1  1  0 -1 -1
 -1  0  1 -1 -1 -1  1  1  1  0 -1 -1 -1  0  1 -1  1  0 -1 -1  0  0  0  0
 -1  1  0  0  0  0 -1 -1  0 -1  1  0  0 -1  0  1  0  1  1  0  0 -1  1  0
  0  1  0 -1  0  1 -1  1  0  0  0  0  0  0  0  1 -1  0  0 -1  1 -1  0  0
  0  0  1  0 -1 -1  1  1  0  1 -1  0  1 -1  0  1 -1  1  1  0 -1  1  0  0
  0  0 -1  0 -1  0  0 -1  0  1 -1 -1  0  0  1  0  1  0  1]",0.7060653188180405,0.7049293964673893
svm,"[-1  1 -1 -1  0 -1  0  0  0 -1 -1  0 -1 -1 -1  1 -1 -1 -1  0 -1  0  1  0
  1  1 -1  1  0  1  0 -1  0  1  1  1  0  1 -1  0 -1  1  0 -1 -1 -1 -1  0
  0  1 -1 -1 -1 -1  0  1 -1  0  1  1  1 -1  0  0 -1 -1  1 -1 -1  1 -1  1
  0  1 -1 -1 -1  1 -1 -1  0 -1 -1 -1 -1 -1  1  0 -1 -1  0  0 -1  0  0  0
 -1 -1 -1  0  0 -1  0  1  0  0 -1  0  0 -1 -1  0 -1  0  0  1  1  0  0 -1
 -1 -1  0 -1 -1  1  0 -1  0 -1  1  0  0  1 -1  0  0 -1  0  1  0 -1 -1 -1
 -1 -1 -1  1  1  1  0 -1  0 -1  1  0 -1  1 -1  1 -1 -1  0  1  1 -1 -1  0
 -1  1 -1  1  0 -1 -1 -1  0 -1  0  0 -1  0 -1 -1 -1  1  1  1  1  1  1 -1
 -1  1  0  1  0  0 -1 -1  0 -1 -1 -1  0  0 -1  0 -1  1 -1  0 -1 -1  0 -1
 -1 -1 -1 -1  0 -1 -1  1 -1 -1 -1  0 -1  0 -1  0  1  1  0  0 -1  1 -1 -1
 -1  1  0  0  0 -1  1  1  1  1  1 -1  1  0  1  0  1 -1 -1  0  0  1 -1 -1
  0 -1  1  0 -1  1 -1  1  1  1  1  1  0 -1  0  1 -1  0  1  0  0  1 -1  1
  1  0 -1 -1 -1  1 -1 -1 -1  0  1  0 -1  0  1 -1 -1 -1  0  1  1 -1  0 -1
  0  0  1 -1  1  0  0  0  1  1  0 -1  0 -1  0 -1  1 -1 -1  0 -1  0  1  1
  0  0  0  0  1  1 -1  0 -1 -1  0  0  0  1 -1 -1 -1 -1 -1  0  1 -1  1 -1
  0 -1  1 -1 -1 -1  0 -1  0 -1  1  1  1  1  1  1  0  1  1 -1 -1  0 -1 -1
 -1  0 -1 -1  0 -1 -1  0 -1  1  0  1 -1 -1  1  1 -1  0  0 -1 -1  0  0  0
  1 -1  1  1  1  0  0  1 -1  0 -1  1  0  0  0 -1 -1  1  1  0  0  0  0  1
  1 -1 -1  0  1  1  0 -1 -1 -1  0  0  1 -1 -1  1  1 -1 -1  0  1  1  1  1
  1  0 -1 -1 -1 -1  0 -1  1 -1  0 -1 -1  0 -1 -1 -1  1 -1 -1  0  0 -1 -1
  1  0 -1  0  0 -1  1 -1 -1  1 -1 -1 -1 -1 -1 -1  0 -1  0  0 -1  0 -1  0
 -1 -1  1  1 -1 -1  0 -1  0  0 -1 -1  0  0  0  0  1 -1 -1 -1  1  0 -1 -1
 -1  0  1 -1  0 -1 -1  1  1 -1 -1 -1 -1  0  1 -1  1  0 -1 -1  0  0  0  1
 -1  1  0  0  0  0 -1 -1  0 -1 -1 -1  0 -1  0  1  0  1 -1  0 -1  1  0 -1
  0  1  0 -1 -1  1  0  1  0 -1  0  0  1 -1  0 -1 -1  0  0 -1  1 -1  1 -1
  0  0  0  0 -1 -1  0  1  0 -1 -1  0  1 -1  0  1 -1  0  1  0  1  1  0  0
  0  0 -1  0 -1  0  0 -1  0  1 -1 -1  0  0  1 -1  1 -1  1]",0.6500777604976672,0.6479489833068018
tree,"[-1  0  1 -1  0 -1  0  0  0  1  1  0 -1  1 -1  0  0 -1  0  1 -1 -1  1  1
  1  1 -1  1  0  1 -1 -1  1  0  1  1  0  1 -1  0 -1  1  1  1  1  1 -1  1
 -1  0  0  0  0 -1  0  0 -1  1 -1  1  1 -1  0  1 -1 -1 -1  0 -1 -1  0  0
  1  1 -1 -1  0  1 -1 -1  1  1 -1  1  0  1  1  0  0  1  0  1  0  1  0  0
  1  1 -1  1  0  1 -1  1  0  1  0  0 -1  0  0  0 -1 -1 -1  1 -1 -1  0 -1
  0  0  0 -1  0  1  1  0 -1 -1 -1  0 -1  1 -1  0  0  1  0  1 -1  0 -1  0
  1 -1 -1  1  1  0  0  0  0  1  1 -1  0 -1  0  1  0  0 -1  1  1 -1  0 -1
  0 -1  1 -1  0 -1  1 -1  1  0  0  1  1  0  1  0 -1  1  0  0  1  1 -1  1
 -1 -1  0  1 -1  1  1  0  0  1  0  1 -1  0 -1  0 -1 -1 -1 -1 -1  1  0  0
 -1 -1 -1  1  1 -1 -1  1  1 -1  0 -1 -1  0  0 -1  1 -1 -1 -1  0 -1 -1  0
 -1  1  0  1  0 -1  1  1  1  0  0 -1  1  0  1  0  1 -1  1 -1  1  0 -1  0
 -1  1  1  1 -1 -1 -1  1 -1  1  1 -1  0  1 -1  1 -1 -1  1  0  0  1 -1  1
 -1  0  0  0  1  1  0  1  1  0 -1 -1 -1  0  1  0  1  1  0  1  1 -1  0 -1
  1  1 -1 -1 -1  1  0  1 -1  1  0  1 -1 -1  1  1  1  1 -1  0 -1  0  1  1
  0  0  0  0 -1 -1  0  0  0 -1  1  0  0  1 -1  0  0 -1  0 -1  0 -1  1 -1
  0 -1  1 -1  1  1 -1  0 -1 -1  0  1  1  1  1  1  1 -1  1 -1  0  0  1 -1
  1  0  1  1 -1 -1 -1  0  1  1  0  1 -1 -1  1  1  1  0  1  0 -1  0  0  1
  0  1  0  1  1  0  1  1  1  1  0  1  0  0  1  0 -1  1  1  1  0  1 -1  0
  1  1  1 -1  0  1  0  0  1 -1  0  0  1  0  1  1  1 -1 -1  0  1  1  1  1
  0  0 -1  0 -1 -1  0 -1  1  0  0 -1 -1 -1 -1 -1 -1 -1 -1 -1  1  0  0  1
  0  0 -1  0  0  1  1 -1  1  1 -1 -1 -1  0  0 -1  0 -1 -1 -1  0  1  1  0
 -1 -1  1  1  0 -1 -1 -1 -1 -1  0  1  0  1  1  0  1  1  0  1  1  0 -1  1
  0 -1  1 -1 -1  1  0 -1  1 -1 -1 -1 -1  0  1 -1  1  0 -1  0  1  1  0 -1
 -1  1 -1 -1  0  0 -1  1  0 -1  0  1 -1  1 -1  1  0  0  1  0 -1  1  1  1
 -1  0  1 -1  0  1  0  1 -1  0  0  0 -1  0  1  1  1  0  1  0  1  0 -1  0
  0 -1  0  0 -1  1  0  1  1  1 -1  1  1  0  0  1 -1  0  1 -1  0  1  1 -1
  0  0  1  0 -1  1  0 -1  1  1  0 -1  1  0  1 -1  0  0  0]",0.6765163297045101,0.6767303975499729
